ID,var_rpta_alt
257335#444821#635511,1
59584#350400#730364,1
397604#973821#106521,1
368086#382995#696856,1
255009#434238#645924,0
417751#109691#978105,1
15170#695103#385239,1
64083#1033680#46662,0
522913#59984#1044995,1
46441#633313#447029,1
552#559118#521224,0
302051#315690#767452,0
118179#314102#769034,0
523516#404708#675216,1
113208#181011#907122,1
276581#207846#874865,1
580908#867522#212820,0
383095#52705#1052247,1
76615#1047728#32614,0
138091#115168#972652,1
357721#73523#1031527,1
442359#1056644#23698,1
500313#1050223#30119,1
402096#43169#1061649,0
507348#350702#730065,0
204337#300670#782445,1
436763#346219#734486,1
465398#824439#255903,1
242084#623070#457272,0
267078#663701#416641,1
200340#725868#354474,0
600026#796685#283657,1
439822#145524#942570,1
608644#280869#802173,1
458223#711065#369277,1
492870#106066#981715,1
385325#66845#1038184,0
283801#483018#597324,1
39603#35099#1069954,1
35925#278860#804180,1
536107#889478#190864,1
356231#190000#898235,0
314131#751663#328679,0
32776#599515#480827,1
296565#487009#593333,0
420032#784025#296317,1
348284#542773#537569,1
514260#342341#738326,0
373936#834274#246068,0
158015#815577#264765,1
107393#729831#350511,1
395121#718382#361960,1
559180#418892#661101,1
311073#1041116#39226,0
106125#404910#675013,1
64548#241610#841409,1
40213#836170#244172,1
332192#909736#170606,0
622359#728230#352112,1
77961#237821#845157,0
590929#109550#978245,1
349843#282225#800828,1
513716#50850#1054052,0
46597#462853#617489,1
302245#848604#231738,1
507759#368273#711587,0
494605#98713#989059,1
541991#910909#169433,0
82315#796739#283603,1
305431#830902#249440,0
191287#180650#907480,1
325540#359775#720088,1
104164#870960#209382,0
419790#703117#377225,0
385203#322645#760493,1
265204#512277#568065,1
615809#246955#836042,1
492907#833827#246515,1
519426#476099#604243,1
343078#713036#367306,0
579554#254116#828878,0
361606#620091#460251,1
27372#1071120#9222,1
387473#591553#488789,1
37054#250623#832376,0
435457#71766#1033297,1
411421#358837#721020,1
331918#253524#829476,0
458587#154497#933618,0
200516#1030154#50188,1
424997#233080#849749,1
285438#489840#590502,0
93856#179627#908493,0
313683#1066197#14145,1
305062#707119#373223,1
359813#401620#678296,1
41776#118031#969796,0
549240#754384#325958,1
535662#874906#205436,1
222849#952636#127706,1
444462#266806#816202,1
565253#646348#433994,0
128500#709481#370861,1
143808#827882#252460,1
178747#840420#239922,1
397405#791419#288923,0
122191#433493#646635,0
334946#999342#81000,0
466507#983180#97162,0
433096#704351#375991,1
249344#834226#246116,0
586814#756878#323464,1
171889#49153#1055675,0
407152#754948#325394,1
174421#950334#130008,1
435971#408186#671733,1
79401#329544#751154,1
62326#575666#504676,0
191580#608392#471950,0
150465#751828#328514,1
13297#802033#278309,1
440173#760775#319567,1
442984#720980#359362,1
552594#639992#440350,1
576414#385052#694806,1
560396#1003964#76378,1
544823#866439#213903,1
9194#1025670#54672,1
290724#807660#272682,0
530843#263372#819616,1
107783#692087#388255,1
70803#436848#643431,1
211885#802005#278337,1
446279#759798#320544,1
264024#611941#468401,1
193260#980584#99758,1
65778#256218#826766,0
235978#198338#889925,1
590023#172635#915491,1
626504#683556#396786,1
629920#228389#854435,1
197602#1042672#37670,1
412049#142919#945176,1
301748#513514#566828,1
478513#884913#195429,1
193245#606920#473422,1
193290#1006753#73589,0
245382#479944#600398,1
160609#1071834#8508,0
53528#439720#640586,0
202496#564525#515817,1
171737#114820#973000,1
142764#650690#429652,0
72606#984659#95683,1
411185#162516#925596,1
341009#881844#198498,0
167842#955562#124780,1
243067#574984#505358,1
626457#770963#309379,1
258756#854117#226225,1
484081#59049#1045925,1
308602#718574#361768,0
558028#992380#87962,1
596135#186078#902072,1
508953#757667#322675,1
615703#1033661#46681,1
604085#210296#872443,1
344411#1033713#46629,1
233656#390359#689528,1
421342#466889#613453,1
529462#841937#238405,1
571571#266868#816140,1
191688#781190#299152,1
437311#406043#673881,1
378556#704312#376030,1
538767#202918#882314,1
26822#99896#987887,0
196205#431725#648333,0
302739#817615#262727,1
160709#93679#994096,1
525744#663427#416915,1
279050#364593#715259,1
64905#836405#243937,0
86505#1003940#76402,1
226926#815070#265272,1
4952#715767#364575,0
222497#564466#515876,1
239792#803265#277077,1
258485#1009389#70953,1
528548#843013#237329,1
565161#695437#384905,1
193725#201432#886838,1
556430#74452#1030597,1
117243#747538#332804,0
589146#541231#539111,1
519745#327951#755191,0
272453#136203#951892,0
131611#188772#899416,1
451059#285315#797742,1
22425#131153#956697,0
468066#724720#355622,1
442485#39868#1065223,1
327062#576575#503767,0
335753#447444#632903,1
617523#49293#1055539,1
511266#57511#1047451,0
190167#793871#286471,1
237974#1010767#69575,0
320145#632549#447793,1
489136#1012190#68152,1
3563#237773#845204,0
267658#588294#492048,1
192375#110429#977369,1
523253#353498#726371,1
69057#495504#584838,1
349551#194630#893625,0
600739#333740#746839,1
409228#448641#631716,1
279847#428343#651655,1
162869#316027#767113,1
346121#423681#656302,1
509751#47282#1057541,0
617319#153934#934181,1
560664#652870#427472,1
412532#543787#536555,1
369382#50381#1054486,1
259705#280129#802915,1
371843#126536#961298,1
170522#113848#973966,1
511467#390785#689119,1
267000#767829#312513,1
110199#557243#523099,1
297272#842373#237969,0
325667#327670#755462,1
68545#621556#458786,1
262075#521009#559333,0
514472#896802#183540,1
414665#94755#993019,0
302441#1041849#38493,0
31053#674800#405542,1
132132#498346#581996,1
388231#591252#489090,0
148890#330654#750055,1
404877#867315#213027,1
25860#407677#672239,1
417352#882669#197673,0
88593#902546#177796,0
179448#872771#207571,0
116951#290382#792674,1
296565#486890#593452,1
586016#485202#595140,1
278078#765712#314630,1
202842#230807#852028,1
458472#880170#200172,1
97672#571299#509043,1
491573#723869#356473,1
109406#223936#858865,0
468707#1036336#44006,1
389813#177271#910839,1
571070#978736#101606,1
600231#319895#763255,1
285438#489857#590485,0
